,Year,Team,Cmp %,Yds/Att,Rate,1st%,Win_loss_perc,Points_diff,Yds_per_play_offense,Score_pct,Turnover_pct,TD_to_Turnover_Rate,Sacks_taken_per_game,Penalties_per_game,Turnovers_per_game,Big_Plays,Big_Plays_per_game,Big_plays_per_game
43,2011,Dolphins,59.7,7.3,84.9,35.4,0.375,16,5.1,32.8,14.4,0.8,3.25,5.31,1.56,63,3.94,3.94
44,2011,Eagles,59.6,7.7,78.3,35.6,0.5,68,6.2,34.7,12.1,0.58,2.0,6.69,2.38,74,4.62,4.62
45,2011,Falcons,61.4,7.4,91.1,36.2,0.625,52,5.6,37.4,13.0,1.38,1.62,5.81,1.31,66,4.12,4.12
46,2011,Giants,61.0,8.4,92.9,36.7,0.563,-6,6.0,32.5,10.9,1.21,1.75,5.88,1.5,85,5.31,5.31
47,2011,Jaguars,51.2,5.4,62.2,26.0,0.313,-86,4.1,22.7,13.6,0.52,2.75,4.81,1.44,34,2.12,2.12
48,2011,Jets,56.7,6.5,78.4,31.6,0.5,14,4.8,29.6,8.6,0.76,2.5,6.38,2.12,44,2.75,2.75
49,2011,Lions,63.5,7.6,97.2,36.6,0.625,87,6.0,37.6,12.0,1.78,2.25,8.0,1.44,81,5.06,5.06
50,2011,49ers,61.4,7.1,91.4,33.3,0.813,151,5.0,39.6,14.0,1.8,2.75,7.06,0.62,47,2.94,2.94
51,2011,Packers,68.1,9.4,122.6,41.7,0.938,201,6.6,48.3,15.4,3.64,2.56,4.75,0.88,86,5.38,5.38
52,2011,Panthers,60.1,7.9,84.8,33.7,0.375,-23,6.2,38.5,12.6,0.91,2.19,7.06,1.44,75,4.69,4.69
53,2011,Patriots,65.7,8.6,105.7,42.8,0.813,171,6.3,47.2,14.6,2.29,2.0,5.44,1.06,86,5.38,5.38
54,2011,Raiders,60.1,7.9,79.4,35.5,0.5,-74,6.0,34.7,14.3,0.67,1.56,10.19,1.88,77,4.81,4.81
55,2011,Rams,53.2,5.9,69.0,29.0,0.125,-214,4.5,18.9,20.0,0.39,3.44,7.0,1.44,40,2.5,2.5
56,2011,Ravens,57.7,6.7,81.7,33.3,0.75,112,5.2,35.5,11.7,0.88,2.06,5.75,1.5,51,3.19,3.19
57,2011,Commanders,58.5,6.9,73.3,34.5,0.313,-79,5.2,30.9,13.1,0.54,2.56,5.69,2.19,64,4.0,4.0
58,2011,Saints,71.3,8.3,110.5,42.3,0.813,208,6.7,51.4,15.8,2.42,1.5,6.19,1.19,80,5.0,5.0
59,2011,Seahawks,58.7,6.8,77.6,30.1,0.438,6,4.8,27.8,13.5,0.65,3.12,8.62,1.44,60,3.75,3.75
60,2011,Steelers,63.3,8.0,89.7,41.0,0.75,98,5.9,33.9,10.9,0.75,2.62,6.31,1.75,70,4.38,4.38
61,2011,Texans,61.7,7.9,92.7,37.7,0.625,103,5.7,37.2,9.7,1.0,2.06,6.19,1.25,66,4.12,4.12
62,2011,Titans,60.4,7.0,84.4,31.7,0.563,8,5.4,31.4,11.8,1.0,1.5,6.5,1.38,65,4.06,4.06
63,2011,Vikings,56.1,6.4,74.6,31.2,0.188,-109,5.2,31.7,16.4,0.77,3.06,6.81,1.62,48,3.0,3.0
64,2012,Bears,59.2,6.8,80.4,33.6,0.625,98,5.0,30.3,15.6,0.88,2.75,6.38,1.5,45,2.81,2.81
65,2012,Bengals,62.0,7.0,88.1,32.0,0.625,71,5.2,35.4,10.9,1.08,2.88,6.19,1.62,53,3.31,3.31
66,2012,Bills,60.5,6.7,82.2,34.4,0.375,-91,5.6,30.0,16.7,0.71,1.88,6.5,2.12,51,3.19,3.19
67,2012,Broncos,68.4,7.9,105.3,39.5,0.813,192,5.8,39.9,8.1,1.48,1.31,6.25,1.56,71,4.44,4.44
68,2012,Browns,58.0,6.5,73.6,32.7,0.313,-66,5.0,29.8,16.9,0.62,2.25,7.06,1.62,56,3.5,3.5
69,2012,Buccaneers,55.0,7.3,81.8,33.2,0.438,-5,5.8,35.2,20.3,1.17,1.62,6.31,1.44,73,4.56,4.56
70,2012,Cardinals,55.4,5.6,63.1,27.6,0.313,-107,4.1,22.0,16.3,0.32,3.62,6.38,2.12,39,2.44,2.44
71,2012,Chargers,64.0,6.8,88.5,34.8,0.438,0,4.8,30.6,11.5,1.0,3.06,6.44,1.62,44,2.75,2.75
72,2012,Chiefs,57.5,6.2,63.8,30.3,0.125,-214,5.0,24.2,11.5,0.22,2.5,5.75,2.31,39,2.44,2.44
73,2012,Colts,54.0,7.0,76.4,33.1,0.688,-30,5.2,33.3,8.3,0.85,2.56,5.88,1.69,76,4.75,4.75
74,2012,Cowboys,66.0,7.6,91.3,36.0,0.5,-24,5.7,36.7,15.5,1.0,2.25,7.31,1.81,64,4.0,4.0
75,2012,Dolphins,58.1,6.8,76.7,31.4,0.438,-29,5.1,27.4,14.4,0.5,2.31,5.12,1.62,45,2.81,2.81
76,2012,Eagles,59.4,6.6,78.6,30.7,0.25,-164,5.3,29.9,14.7,0.49,3.0,6.12,2.31,57,3.56,3.56
77,2012,Falcons,68.6,7.7,99.1,40.0,0.813,120,5.8,44.0,11.6,1.78,1.75,3.44,1.12,56,3.5,3.5
78,2012,Giants,59.9,7.4,87.2,34.7,0.563,85,5.9,43.8,13.0,1.24,1.25,4.5,1.31,60,3.75,3.75
79,2012,Jaguars,56.0,6.4,74.6,26.8,0.125,-189,4.8,25.5,12.7,0.77,3.12,6.31,1.62,56,3.5,3.5
80,2012,Jets,55.2,6.4,68.3,32.9,0.375,-94,4.6,24.2,14.1,0.38,2.94,5.19,2.31,46,2.88,2.88
81,2012,Lions,60.1,6.9,81.5,36.8,0.25,-65,5.6,36.0,22.2,0.67,1.81,6.44,2.06,77,4.81,4.81
82,2012,49ers,66.3,8.1,101.2,39.4,0.719,124,6.0,39.3,8.1,1.44,2.56,6.81,1.0,62,3.88,3.88
83,2012,Packers,67.0,7.8,108.3,38.2,0.688,97,5.5,37.6,12.8,2.5,3.19,6.44,1.0,64,4.0,4.0
84,2012,Panthers,58.0,8.0,86.5,34.9,0.438,-6,5.8,32.6,12.6,0.86,2.25,6.12,1.38,69,4.31,4.31
85,2012,Patriots,62.7,7.6,97.7,39.9,0.75,226,5.7,48.1,13.0,2.12,1.69,6.06,1.0,65,4.06,4.06
86,2012,Raiders,59.8,6.8,82.4,31.8,0.25,-153,5.3,31.4,13.5,0.92,1.69,6.75,1.62,62,3.88,3.88
87,2012,Rams,59.6,6.8,82.8,33.9,0.469,-49,5.3,27.5,18.0,1.0,2.19,8.12,1.38,51,3.19,3.19
88,2012,Ravens,59.6,7.1,86.4,32.5,0.625,54,5.4,35.8,11.2,1.38,2.38,7.56,1.0,74,4.62,4.62
89,2012,Commanders,65.8,8.3,102.1,38.7,0.625,48,6.2,39.3,11.4,1.71,2.06,7.25,0.88,61,3.81,3.81
90,2012,Saints,63.0,7.7,96.4,39.8,0.438,7,6.2,37.4,13.2,1.79,1.62,6.5,1.5,79,4.94,4.94
